IP,ASN,Longitude,Latitude
130.117.49.146,174,-97.822,37.751
195.2.10.85,1273,-0.1224,51.4964
193.95.96.100,2609,9.0,34.0
41.181.189.67,2905,24.0,-29.0
81.25.197.18,2914,2.3387,48.8582
77.67.95.121,3257,9.491,51.2993
212.73.201.97,3356,14.5148,50.0766
193.251.251.93,5511,2.3387,48.8582
196.25.146.36,5713,22.9721,-27.2056
81.192.65.170,6713,-5.5396,33.8916
195.22.197.50,6762,12.1097,43.1479
184.105.223.253,6939,-97.822,37.751
197.43.213.1,8452,32.5263,29.9737
197.82.5.249,10474,24.0,-29.0
41.193.164.85,11845,28.0583,-26.2309
41.212.66.1,15399,39.2847,-6.7963
80.81.68.125,15412,-3.684,40.4172
69.63.76.81,19711,31.1333,-26.3167
62.68.47.250,21003,17.0,25.0
197.133.96.3,24835,31.2852,30.0778
41.60.135.94,30844,29.0167,-24.1833
196.44.184.134,31856,30.0,-20.0
41.250.128.1,36903,-7.6184,33.5922
196.202.252.59,36907,13.2353,-8.8385
102.22.160.1,36924,30.0,-2.0
41.223.57.202,36926,36.8155,-1.2841
41.200.192.1,36947,8.0447,36.1694
41.21.232.182,36994,31.0191,-29.8523
41.223.224.5,37006,30.0663,-1.9507
41.191.201.145,37057,28.5,-29.5
197.239.63.250,37075,32.5657,0.3162
41.188.172.97,37084,39.291,-6.8227
105.21.160.89,37100,39.2847,-6.7963
197.215.100.161,37164,-13.2342,8.49
41.66.181.201,37179,28.0583,-26.2309
196.29.37.134,37183,30.0,-20.0
196.32.232.140,37266,18.4155,-33.9165
105.187.235.149,37457,24.0,-29.0
197.149.148.69,37468,13.2353,-8.8385
197.215.149.235,37558,17.0,25.0
169.159.136.133,37596,28.0583,-26.2309
102.182.0.125,37611,18.4259,-33.9258
193.95.79.252,37671,9.0,34.0
154.109.128.0,37693,8.8341,35.1668
41.226.16.230,37705,10.1778,36.8049
185.35.140.35,60171,-3.684,40.4172
154.73.184.76,327693,18.4155,-33.9165
154.73.104.19,327799,30.0,-3.5
196.216.220.167,327903,-13.2342,8.49
154.68.177.1,328366,28.0583,-26.2309
102.66.248.8,328471,27.7333,-23.6667
